timestamp,action,price,indicators,result
2025-01-22 16:30:49,analysis,1.04367,{'rsi': 31.188118811881452, 'ema_short': 1.0437450085825422, 'ema_medium': 1.0439546281690182, 'ema_long': 1.0439385351587813, 'bb_upper': 1.0446567902852457, 'bb_lower': 1.0434792097147538, 'bb_sma': 1.0440679999999998},None
2025-01-22 16:30:50,analysis,1.04367,{'rsi': 31.188118811881452, 'ema_short': 1.0437450085825422, 'ema_medium': 1.0439546281690182, 'ema_long': 1.0439385351587813, 'bb_upper': 1.0446567902852457, 'bb_lower': 1.0434792097147538, 'bb_sma': 1.0440679999999998},None
2025-01-22 16:30:52,analysis,1.04367,{'rsi': 31.188118811881452, 'ema_short': 1.0437450085825422, 'ema_medium': 1.0439546281690182, 'ema_long': 1.0439385351587813, 'bb_upper': 1.0446567902852457, 'bb_lower': 1.0434792097147538, 'bb_sma': 1.0440679999999998},None
2025-01-22 16:30:54,analysis,1.04367,{'rsi': 31.188118811881452, 'ema_short': 1.0437450085825422, 'ema_medium': 1.0439546281690182, 'ema_long': 1.0439385351587813, 'bb_upper': 1.0446567902852457, 'bb_lower': 1.0434792097147538, 'bb_sma': 1.0440679999999998},None
2025-01-22 16:31:26,analysis,1.04385,{'rsi': 36.818181818178466, 'ema_short': 1.0437655892997688, 'ema_medium': 1.0439355169819258, 'ema_long': 1.0439359561664243, 'bb_upper': 1.0445974908210194, 'bb_lower': 1.04347400917898, 'bb_sma': 1.0440357499999997},None
2025-01-22 16:31:28,analysis,1.04385,{'rsi': 36.818181818178466, 'ema_short': 1.0437655892997688, 'ema_medium': 1.0439355169819258, 'ema_long': 1.0439359561664243, 'bb_upper': 1.0445974908210194, 'bb_lower': 1.04347400917898, 'bb_sma': 1.0440357499999997},None
2025-01-22 16:31:29,analysis,1.04385,{'rsi': 36.818181818178466, 'ema_short': 1.0437655892997688, 'ema_medium': 1.0439355169819258, 'ema_long': 1.0439359561664243, 'bb_upper': 1.0445974908210194, 'bb_lower': 1.04347400917898, 'bb_sma': 1.0440357499999997},None
2025-01-22 16:31:31,analysis,1.04385,{'rsi': 36.818181818178466, 'ema_short': 1.0437655892997688, 'ema_medium': 1.0439355169819258, 'ema_long': 1.0439359561664243, 'bb_upper': 1.0445974908210194, 'bb_lower': 1.04347400917898, 'bb_sma': 1.0440357499999997},None
2025-01-22 16:31:32,analysis,1.04385,{'rsi': 36.818181818178466, 'ema_short': 1.0437655892997688, 'ema_medium': 1.0439355169819258, 'ema_long': 1.0439359561664243, 'bb_upper': 1.0445974908210194, 'bb_lower': 1.04347400917898, 'bb_sma': 1.0440357499999997},None
2025-01-22 16:31:34,analysis,1.04385,{'rsi': 36.818181818178466, 'ema_short': 1.0437655892997688, 'ema_medium': 1.0439355169819258, 'ema_long': 1.0439359561664243, 'bb_upper': 1.0445974908210194, 'bb_lower': 1.04347400917898, 'bb_sma': 1.0440357499999997},None
2025-01-22 16:31:35,analysis,1.04385,{'rsi': 36.818181818178466, 'ema_short': 1.0437655892997688, 'ema_medium': 1.0439355169819258, 'ema_long': 1.0439359561664243, 'bb_upper': 1.0445974908210194, 'bb_lower': 1.04347400917898, 'bb_sma': 1.0440357499999997},None
2025-01-22 16:31:37,analysis,1.04385,{'rsi': 36.818181818178466, 'ema_short': 1.0437655892997688, 'ema_medium': 1.0439355169819258, 'ema_long': 1.0439359561664243, 'bb_upper': 1.0445974908210194, 'bb_lower': 1.04347400917898, 'bb_sma': 1.0440357499999997},None
2025-01-22 16:31:38,analysis,1.04385,{'rsi': 36.818181818178466, 'ema_short': 1.0437655892997688, 'ema_medium': 1.0439355169819258, 'ema_long': 1.0439359561664243, 'bb_upper': 1.0445974908210194, 'bb_lower': 1.04347400917898, 'bb_sma': 1.0440357499999997},None
2025-01-22 16:31:39,analysis,1.04385,{'rsi': 36.818181818178466, 'ema_short': 1.0437655892997688, 'ema_medium': 1.0439355169819258, 'ema_long': 1.0439359561664243, 'bb_upper': 1.0445974908210194, 'bb_lower': 1.04347400917898, 'bb_sma': 1.0440357499999997},None
2025-01-22 16:31:41,analysis,1.04385,{'rsi': 36.818181818178466, 'ema_short': 1.0437655892997688, 'ema_medium': 1.0439355169819258, 'ema_long': 1.0439359561664243, 'bb_upper': 1.0445974908210194, 'bb_lower': 1.04347400917898, 'bb_sma': 1.0440357499999997},None
2025-01-22 16:31:42,analysis,1.04385,{'rsi': 36.818181818178466, 'ema_short': 1.0437655892997688, 'ema_medium': 1.0439355169819258, 'ema_long': 1.0439359561664243, 'bb_upper': 1.0445974908210194, 'bb_lower': 1.04347400917898, 'bb_sma': 1.0440357499999997},None
2025-01-22 16:31:43,analysis,1.04385,{'rsi': 36.818181818178466, 'ema_short': 1.0437655892997688, 'ema_medium': 1.0439355169819258, 'ema_long': 1.0439359561664243, 'bb_upper': 1.0445974908210194, 'bb_lower': 1.04347400917898, 'bb_sma': 1.0440357499999997},None
2025-01-22 16:31:45,analysis,1.04385,{'rsi': 36.818181818178466, 'ema_short': 1.0437655892997688, 'ema_medium': 1.0439355169819258, 'ema_long': 1.0439359561664243, 'bb_upper': 1.0445974908210194, 'bb_lower': 1.04347400917898, 'bb_sma': 1.0440357499999997},None
2025-01-22 16:31:46,analysis,1.04385,{'rsi': 36.818181818178466, 'ema_short': 1.0437655892997688, 'ema_medium': 1.0439355169819258, 'ema_long': 1.0439359561664243, 'bb_upper': 1.0445974908210194, 'bb_lower': 1.04347400917898, 'bb_sma': 1.0440357499999997},None
