timestamp,action,price,indicators,result
2025-01-22 15:13:43,analysis,1.0441,{'rsi': np.float64(62.68), 'ema_short': np.float64(1.044), 'ema_medium': np.float64(1.04412), 'ema_long': np.float64(1.04433), 'bb_upper': np.float64(1.0444), 'bb_lower': np.float64(1.04377), 'bb_sma': np.float64(1.04409)},None
2025-01-22 15:13:45,analysis,1.04411,{'rsi': np.float64(62.68), 'ema_short': np.float64(1.044), 'ema_medium': np.float64(1.04411), 'ema_long': np.float64(1.04431), 'bb_upper': np.float64(1.04439), 'bb_lower': np.float64(1.04377), 'bb_sma': np.float64(1.04408)},None
2025-01-22 15:13:46,analysis,1.04412,{'rsi': np.float64(62.68), 'ema_short': np.float64(1.044), 'ema_medium': np.float64(1.04411), 'ema_long': np.float64(1.04429), 'bb_upper': np.float64(1.04438), 'bb_lower': np.float64(1.04378), 'bb_sma': np.float64(1.04408)},None
2025-01-22 15:13:47,analysis,1.04412,{'rsi': np.float64(62.68), 'ema_short': np.float64(1.04402), 'ema_medium': np.float64(1.0441), 'ema_long': np.float64(1.04427), 'bb_upper': np.float64(1.04437), 'bb_lower': np.float64(1.04378), 'bb_sma': np.float64(1.04407)},None
2025-01-22 15:13:48,analysis,1.04416,{'rsi': np.float64(62.68), 'ema_short': np.float64(1.04405), 'ema_medium': np.float64(1.04409), 'ema_long': np.float64(1.04426), 'bb_upper': np.float64(1.04433), 'bb_lower': np.float64(1.04379), 'bb_sma': np.float64(1.04406)},None
2025-01-22 15:13:49,analysis,1.04416,{'rsi': np.float64(62.68), 'ema_short': np.float64(1.0441), 'ema_medium': np.float64(1.04407), 'ema_long': np.float64(1.04425), 'bb_upper': np.float64(1.04431), 'bb_lower': np.float64(1.0438), 'bb_sma': np.float64(1.04406)},None
2025-01-22 15:13:51,analysis,1.04416,{'rsi': np.float64(62.68), 'ema_short': np.float64(1.04414), 'ema_medium': np.float64(1.04406), 'ema_long': np.float64(1.04423), 'bb_upper': np.float64(1.04429), 'bb_lower': np.float64(1.04381), 'bb_sma': np.float64(1.04405)},None
2025-01-22 15:13:52,analysis,1.04416,{'rsi': np.float64(62.68), 'ema_short': np.float64(1.04414), 'ema_medium': np.float64(1.04404), 'ema_long': np.float64(1.04422), 'bb_upper': np.float64(1.04429), 'bb_lower': np.float64(1.04381), 'bb_sma': np.float64(1.04405)},None
2025-01-22 15:13:53,analysis,1.04415,{'rsi': np.float64(62.68), 'ema_short': np.float64(1.04413), 'ema_medium': np.float64(1.04404), 'ema_long': np.float64(1.04421), 'bb_upper': np.float64(1.04429), 'bb_lower': np.float64(1.04381), 'bb_sma': np.float64(1.04405)},None
2025-01-22 15:13:54,analysis,1.044155,{'rsi': np.float64(62.68), 'ema_short': np.float64(1.04414), 'ema_medium': np.float64(1.04403), 'ema_long': np.float64(1.04419), 'bb_upper': np.float64(1.0443), 'bb_lower': np.float64(1.04381), 'bb_sma': np.float64(1.04406)},None
2025-01-22 15:13:56,analysis,1.04414,{'rsi': np.float64(62.68), 'ema_short': np.float64(1.04414), 'ema_medium': np.float64(1.04403), 'ema_long': np.float64(1.04419), 'bb_upper': np.float64(1.04431), 'bb_lower': np.float64(1.04382), 'bb_sma': np.float64(1.04407)},None
