timestamp,action,price,indicators,result
2025-01-20 22:28:39,analysis,1.03942,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03923), 'ema_medium': np.float64(1.03932), 'ema_long': np.float64(1.03913), 'bb_upper': np.float64(1.0395), 'bb_lower': np.float64(1.03911), 'bb_sma': np.float64(1.0393)},None
2025-01-20 22:28:40,analysis,1.03942,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03926), 'ema_medium': np.float64(1.03932), 'ema_long': np.float64(1.03916), 'bb_upper': np.float64(1.0395), 'bb_lower': np.float64(1.03911), 'bb_sma': np.float64(1.0393)},None
2025-01-20 22:28:42,analysis,1.03942,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03929), 'ema_medium': np.float64(1.03931), 'ema_long': np.float64(1.03918), 'bb_upper': np.float64(1.0395), 'bb_lower': np.float64(1.03911), 'bb_sma': np.float64(1.03931)},None
2025-01-20 22:28:43,analysis,1.039415,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03933), 'ema_medium': np.float64(1.03931), 'ema_long': np.float64(1.03919), 'bb_upper': np.float64(1.0395), 'bb_lower': np.float64(1.03911), 'bb_sma': np.float64(1.03931)},None
2025-01-20 22:28:44,analysis,1.03942,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03935), 'ema_medium': np.float64(1.0393), 'ema_long': np.float64(1.0392), 'bb_upper': np.float64(1.03951), 'bb_lower': np.float64(1.03911), 'bb_sma': np.float64(1.03931)},None
2025-01-20 22:28:46,analysis,1.039415,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03938), 'ema_medium': np.float64(1.0393), 'ema_long': np.float64(1.03921), 'bb_upper': np.float64(1.03952), 'bb_lower': np.float64(1.0391), 'bb_sma': np.float64(1.03931)},None
2025-01-20 22:28:47,analysis,1.039415,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03941), 'ema_medium': np.float64(1.0393), 'ema_long': np.float64(1.03924), 'bb_upper': np.float64(1.03953), 'bb_lower': np.float64(1.0391), 'bb_sma': np.float64(1.03932)},None
2025-01-20 22:28:49,analysis,1.039415,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03942), 'ema_medium': np.float64(1.0393), 'ema_long': np.float64(1.03926), 'bb_upper': np.float64(1.03954), 'bb_lower': np.float64(1.03911), 'bb_sma': np.float64(1.03932)},None
2025-01-20 22:28:50,analysis,1.039415,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03942), 'ema_medium': np.float64(1.0393), 'ema_long': np.float64(1.03928), 'bb_upper': np.float64(1.03955), 'bb_lower': np.float64(1.03911), 'bb_sma': np.float64(1.03933)},None
2025-01-20 22:28:52,analysis,1.039415,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03942), 'ema_medium': np.float64(1.03931), 'ema_long': np.float64(1.03931), 'bb_upper': np.float64(1.03955), 'bb_lower': np.float64(1.03911), 'bb_sma': np.float64(1.03933)},None
2025-01-20 22:28:53,analysis,1.039415,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03942), 'ema_medium': np.float64(1.03931), 'ema_long': np.float64(1.03933), 'bb_upper': np.float64(1.03956), 'bb_lower': np.float64(1.03911), 'bb_sma': np.float64(1.03933)},None
2025-01-20 22:28:54,analysis,1.039415,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03942), 'ema_medium': np.float64(1.03931), 'ema_long': np.float64(1.03935), 'bb_upper': np.float64(1.03956), 'bb_lower': np.float64(1.03913), 'bb_sma': np.float64(1.03935)},None
2025-01-20 22:28:56,analysis,1.03942,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03942), 'ema_medium': np.float64(1.03932), 'ema_long': np.float64(1.03937), 'bb_upper': np.float64(1.03955), 'bb_lower': np.float64(1.03918), 'bb_sma': np.float64(1.03936)},None
2025-01-20 22:28:57,analysis,1.03942,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03942), 'ema_medium': np.float64(1.03934), 'ema_long': np.float64(1.03939), 'bb_upper': np.float64(1.03954), 'bb_lower': np.float64(1.03921), 'bb_sma': np.float64(1.03937)},None
2025-01-20 22:28:59,analysis,1.039425,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03942), 'ema_medium': np.float64(1.03936), 'ema_long': np.float64(1.03942), 'bb_upper': np.float64(1.03952), 'bb_lower': np.float64(1.03925), 'bb_sma': np.float64(1.03939)},None
2025-01-20 22:29:00,analysis,1.039425,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03942), 'ema_medium': np.float64(1.03937), 'ema_long': np.float64(1.03944), 'bb_upper': np.float64(1.03951), 'bb_lower': np.float64(1.03928), 'bb_sma': np.float64(1.0394)},None
2025-01-20 22:29:02,analysis,1.039425,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03942), 'ema_medium': np.float64(1.03939), 'ema_long': np.float64(1.03945), 'bb_upper': np.float64(1.03949), 'bb_lower': np.float64(1.03933), 'bb_sma': np.float64(1.03941)},None
2025-01-20 22:29:03,analysis,1.03941,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03942), 'ema_medium': np.float64(1.0394), 'ema_long': np.float64(1.03945), 'bb_upper': np.float64(1.03943), 'bb_lower': np.float64(1.0394), 'bb_sma': np.float64(1.03942)},None
2025-01-20 22:29:05,analysis,1.03941,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03942), 'ema_medium': np.float64(1.03942), 'ema_long': np.float64(1.03945), 'bb_upper': np.float64(1.03943), 'bb_lower': np.float64(1.03941), 'bb_sma': np.float64(1.03942)},None
2025-01-20 22:29:06,analysis,1.03941,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03942), 'ema_medium': np.float64(1.03942), 'ema_long': np.float64(1.03945), 'bb_upper': np.float64(1.03943), 'bb_lower': np.float64(1.03941), 'bb_sma': np.float64(1.03942)},None
2025-01-20 22:29:08,analysis,1.03941,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03942), 'ema_medium': np.float64(1.03942), 'ema_long': np.float64(1.03944), 'bb_upper': np.float64(1.03943), 'bb_lower': np.float64(1.03941), 'bb_sma': np.float64(1.03942)},None
2025-01-20 22:29:10,analysis,1.03941,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03942), 'ema_medium': np.float64(1.03942), 'ema_long': np.float64(1.03943), 'bb_upper': np.float64(1.03943), 'bb_lower': np.float64(1.03941), 'bb_sma': np.float64(1.03942)},None
2025-01-20 22:29:12,analysis,1.03941,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03942), 'ema_medium': np.float64(1.03942), 'ema_long': np.float64(1.03941), 'bb_upper': np.float64(1.03943), 'bb_lower': np.float64(1.03941), 'bb_sma': np.float64(1.03942)},None
2025-01-20 22:29:13,analysis,1.03941,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03941), 'ema_medium': np.float64(1.03942), 'ema_long': np.float64(1.0394), 'bb_upper': np.float64(1.03943), 'bb_lower': np.float64(1.03941), 'bb_sma': np.float64(1.03942)},None
2025-01-20 22:29:15,analysis,1.03941,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03941), 'ema_medium': np.float64(1.03942), 'ema_long': np.float64(1.03939), 'bb_upper': np.float64(1.03943), 'bb_lower': np.float64(1.0394), 'bb_sma': np.float64(1.03942)},None
2025-01-20 22:29:16,analysis,1.03941,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03941), 'ema_medium': np.float64(1.03942), 'ema_long': np.float64(1.03938), 'bb_upper': np.float64(1.03943), 'bb_lower': np.float64(1.0394), 'bb_sma': np.float64(1.03941)},None
2025-01-20 22:29:18,analysis,1.03941,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03941), 'ema_medium': np.float64(1.03942), 'ema_long': np.float64(1.03938), 'bb_upper': np.float64(1.03943), 'bb_lower': np.float64(1.0394), 'bb_sma': np.float64(1.03941)},None
2025-01-20 22:29:19,analysis,1.03941,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03941), 'ema_medium': np.float64(1.03942), 'ema_long': np.float64(1.03937), 'bb_upper': np.float64(1.03943), 'bb_lower': np.float64(1.0394), 'bb_sma': np.float64(1.03941)},None
2025-01-20 22:29:20,analysis,1.03941,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03941), 'ema_medium': np.float64(1.03941), 'ema_long': np.float64(1.03936), 'bb_upper': np.float64(1.03943), 'bb_lower': np.float64(1.0394), 'bb_sma': np.float64(1.03941)},None
2025-01-20 22:29:22,analysis,1.03941,{'rsi': np.float64(51.34), 'ema_short': np.float64(1.03941), 'ema_medium': np.float64(1.03941), 'ema_long': np.float64(1.03936), 'bb_upper': np.float64(1.03943), 'bb_lower': np.float64(1.0394), 'bb_sma': np.float64(1.03941)},None
2025-01-20 22:29:23,analysis,1.03941,{'rsi': np.float64(54.06), 'ema_short': np.float64(1.03941), 'ema_medium': np.float64(1.03941), 'ema_long': np.float64(1.03936), 'bb_upper': np.float64(1.03942), 'bb_lower': np.float64(1.0394), 'bb_sma': np.float64(1.03941)},None
