timestamp,action,price,indicators,result
2025-01-22 16:23:58,analysis,1.043895,{'rsi': 36.65480427045886, 'ema_short': 1.04405323442944, 'ema_medium': 1.0441386762782638, 'ema_long': 1.0439794749900773, 'bb_upper': 1.044685124985228, 'bb_lower': 1.0436273750147718, 'bb_sma': 1.04415625},None
2025-01-22 16:23:59,analysis,1.043895,{'rsi': 36.65480427045886, 'ema_short': 1.04405323442944, 'ema_medium': 1.0441386762782638, 'ema_long': 1.0439794749900773, 'bb_upper': 1.044685124985228, 'bb_lower': 1.0436273750147718, 'bb_sma': 1.04415625},None
2025-01-22 16:24:01,analysis,1.043895,{'rsi': 36.65480427045886, 'ema_short': 1.04405323442944, 'ema_medium': 1.0441386762782638, 'ema_long': 1.0439794749900773, 'bb_upper': 1.044685124985228, 'bb_lower': 1.0436273750147718, 'bb_sma': 1.04415625},None
2025-01-22 16:24:04,analysis,1.043845,{'rsi': 21.99170124481175, 'ema_short': 1.0439979271614577, 'ema_medium': 1.0441158012844867, 'ema_long': 1.0439763123937107, 'bb_upper': 1.044678327938152, 'bb_lower': 1.0436421720618476, 'bb_sma': 1.0441602499999998},None
2025-01-22 16:24:23,analysis,1.043845,{'rsi': 21.99170124481175, 'ema_short': 1.0439979271614577, 'ema_medium': 1.0441158012844867, 'ema_long': 1.0439763123937107, 'bb_upper': 1.044678327938152, 'bb_lower': 1.0436421720618476, 'bb_sma': 1.0441602499999998},None
2025-01-22 16:24:24,analysis,1.043845,{'rsi': 21.99170124481175, 'ema_short': 1.0439979271614577, 'ema_medium': 1.0441158012844867, 'ema_long': 1.0439763123937107, 'bb_upper': 1.044678327938152, 'bb_lower': 1.0436421720618476, 'bb_sma': 1.0441602499999998},None
2025-01-22 16:24:26,analysis,1.043845,{'rsi': 21.99170124481175, 'ema_short': 1.0439979271614577, 'ema_medium': 1.0441158012844867, 'ema_long': 1.0439763123937107, 'bb_upper': 1.044678327938152, 'bb_lower': 1.0436421720618476, 'bb_sma': 1.0441602499999998},None
2025-01-22 16:24:27,analysis,1.043845,{'rsi': 21.99170124481175, 'ema_short': 1.0439979271614577, 'ema_medium': 1.0441158012844867, 'ema_long': 1.0439763123937107, 'bb_upper': 1.044678327938152, 'bb_lower': 1.0436421720618476, 'bb_sma': 1.0441602499999998},None
2025-01-22 16:24:29,analysis,1.043845,{'rsi': 21.99170124481175, 'ema_short': 1.0439979271614577, 'ema_medium': 1.0441158012844867, 'ema_long': 1.0439763123937107, 'bb_upper': 1.044678327938152, 'bb_lower': 1.0436421720618476, 'bb_sma': 1.0441602499999998},None
2025-01-22 16:24:30,analysis,1.043845,{'rsi': 21.99170124481175, 'ema_short': 1.0439979271614577, 'ema_medium': 1.0441158012844867, 'ema_long': 1.0439763123937107, 'bb_upper': 1.044678327938152, 'bb_lower': 1.0436421720618476, 'bb_sma': 1.0441602499999998},None
2025-01-22 16:24:32,analysis,1.043845,{'rsi': 21.99170124481175, 'ema_short': 1.0439979271614577, 'ema_medium': 1.0441158012844867, 'ema_long': 1.0439763123937107, 'bb_upper': 1.044678327938152, 'bb_lower': 1.0436421720618476, 'bb_sma': 1.0441602499999998},None
