timestamp,action,price,indicators,result
2025-01-22 16:33:43,analysis,1.043745,{'rsi': 38.52040816326222, 'ema_short': 1.043772275572338, 'ema_medium': 1.043897976347725, 'ema_long': 1.043930341433872, 'bb_upper': 1.044488582020835, 'bb_lower': 1.0434674179791648, 'bb_sma': 1.0439779999999999},None
2025-01-22 16:33:45,analysis,1.043745,{'rsi': 38.52040816326222, 'ema_short': 1.043772275572338, 'ema_medium': 1.043897976347725, 'ema_long': 1.043930341433872, 'bb_upper': 1.044488582020835, 'bb_lower': 1.0434674179791648, 'bb_sma': 1.0439779999999999},None
2025-01-22 16:33:47,analysis,1.043745,{'rsi': 38.52040816326222, 'ema_short': 1.043772275572338, 'ema_medium': 1.043897976347725, 'ema_long': 1.043930341433872, 'bb_upper': 1.044488582020835, 'bb_lower': 1.0434674179791648, 'bb_sma': 1.0439779999999999},None
2025-01-22 16:33:48,analysis,1.043745,{'rsi': 38.52040816326222, 'ema_short': 1.043772275572338, 'ema_medium': 1.043897976347725, 'ema_long': 1.043930341433872, 'bb_upper': 1.044488582020835, 'bb_lower': 1.0434674179791648, 'bb_sma': 1.0439779999999999},None
2025-01-22 16:33:50,analysis,1.043745,{'rsi': 38.52040816326222, 'ema_short': 1.043772275572338, 'ema_medium': 1.043897976347725, 'ema_long': 1.043930341433872, 'bb_upper': 1.044488582020835, 'bb_lower': 1.0434674179791648, 'bb_sma': 1.0439779999999999},None
2025-01-22 16:33:52,analysis,1.043745,{'rsi': 38.52040816326222, 'ema_short': 1.043772275572338, 'ema_medium': 1.043897976347725, 'ema_long': 1.043930341433872, 'bb_upper': 1.044488582020835, 'bb_lower': 1.0434674179791648, 'bb_sma': 1.0439779999999999},None
2025-01-22 16:33:53,analysis,1.043745,{'rsi': 38.52040816326222, 'ema_short': 1.043772275572338, 'ema_medium': 1.043897976347725, 'ema_long': 1.043930341433872, 'bb_upper': 1.044488582020835, 'bb_lower': 1.0434674179791648, 'bb_sma': 1.0439779999999999},None
2025-01-22 16:33:55,analysis,1.043745,{'rsi': 38.52040816326222, 'ema_short': 1.043772275572338, 'ema_medium': 1.043897976347725, 'ema_long': 1.043930341433872, 'bb_upper': 1.044488582020835, 'bb_lower': 1.0434674179791648, 'bb_sma': 1.0439779999999999},None
2025-01-22 16:33:56,analysis,1.043745,{'rsi': 38.52040816326222, 'ema_short': 1.043772275572338, 'ema_medium': 1.043897976347725, 'ema_long': 1.043930341433872, 'bb_upper': 1.044488582020835, 'bb_lower': 1.0434674179791648, 'bb_sma': 1.0439779999999999},None
2025-01-22 16:33:58,analysis,1.043745,{'rsi': 38.52040816326222, 'ema_short': 1.043772275572338, 'ema_medium': 1.043897976347725, 'ema_long': 1.043930341433872, 'bb_upper': 1.044488582020835, 'bb_lower': 1.0434674179791648, 'bb_sma': 1.0439779999999999},None
2025-01-22 16:33:59,analysis,1.043745,{'rsi': 38.52040816326222, 'ema_short': 1.043772275572338, 'ema_medium': 1.043897976347725, 'ema_long': 1.043930341433872, 'bb_upper': 1.044488582020835, 'bb_lower': 1.0434674179791648, 'bb_sma': 1.0439779999999999},None
2025-01-22 16:34:01,analysis,1.043745,{'rsi': 38.52040816326222, 'ema_short': 1.043772275572338, 'ema_medium': 1.043897976347725, 'ema_long': 1.043930341433872, 'bb_upper': 1.044488582020835, 'bb_lower': 1.0434674179791648, 'bb_sma': 1.0439779999999999},None
2025-01-22 16:34:02,analysis,1.043825,{'rsi': 43.15245478036208, 'ema_short': 1.043780151016391, 'ema_medium': 1.0438832489245602, 'ema_long': 1.04392827145491, 'bb_upper': 1.0444342911473155, 'bb_lower': 1.0434682088526843, 'bb_sma': 1.0439512499999999},None
2025-01-22 16:34:04,analysis,1.043825,{'rsi': 43.15245478036208, 'ema_short': 1.043780151016391, 'ema_medium': 1.0438832489245602, 'ema_long': 1.04392827145491, 'bb_upper': 1.0444342911473155, 'bb_lower': 1.0434682088526843, 'bb_sma': 1.0439512499999999},None
2025-01-22 16:34:06,analysis,1.043825,{'rsi': 43.15245478036208, 'ema_short': 1.043780151016391, 'ema_medium': 1.0438832489245602, 'ema_long': 1.04392827145491, 'bb_upper': 1.0444342911473155, 'bb_lower': 1.0434682088526843, 'bb_sma': 1.0439512499999999},None
2025-01-22 16:34:07,analysis,1.043825,{'rsi': 43.15245478036208, 'ema_short': 1.043780151016391, 'ema_medium': 1.0438832489245602, 'ema_long': 1.04392827145491, 'bb_upper': 1.0444342911473155, 'bb_lower': 1.0434682088526843, 'bb_sma': 1.0439512499999999},None
2025-01-22 16:34:09,analysis,1.043825,{'rsi': 43.15245478036208, 'ema_short': 1.043780151016391, 'ema_medium': 1.0438832489245602, 'ema_long': 1.04392827145491, 'bb_upper': 1.0444342911473155, 'bb_lower': 1.0434682088526843, 'bb_sma': 1.0439512499999999},None
2025-01-22 16:34:10,analysis,1.043825,{'rsi': 43.15245478036208, 'ema_short': 1.043780151016391, 'ema_medium': 1.0438832489245602, 'ema_long': 1.04392827145491, 'bb_upper': 1.0444342911473155, 'bb_lower': 1.0434682088526843, 'bb_sma': 1.0439512499999999},None
2025-01-22 16:34:12,analysis,1.043825,{'rsi': 43.15245478036208, 'ema_short': 1.043780151016391, 'ema_medium': 1.0438832489245602, 'ema_long': 1.04392827145491, 'bb_upper': 1.0444342911473155, 'bb_lower': 1.0434682088526843, 'bb_sma': 1.0439512499999999},None
2025-01-22 16:34:13,analysis,1.043825,{'rsi': 43.15245478036208, 'ema_short': 1.043780151016391, 'ema_medium': 1.0438832489245602, 'ema_long': 1.04392827145491, 'bb_upper': 1.0444342911473155, 'bb_lower': 1.0434682088526843, 'bb_sma': 1.0439512499999999},None
2025-01-22 16:34:15,analysis,1.043825,{'rsi': 43.15245478036208, 'ema_short': 1.043780151016391, 'ema_medium': 1.0438832489245602, 'ema_long': 1.04392827145491, 'bb_upper': 1.0444342911473155, 'bb_lower': 1.0434682088526843, 'bb_sma': 1.0439512499999999},None
2025-01-22 16:34:16,analysis,1.043825,{'rsi': 43.15245478036208, 'ema_short': 1.043780151016391, 'ema_medium': 1.0438832489245602, 'ema_long': 1.04392827145491, 'bb_upper': 1.0444342911473155, 'bb_lower': 1.0434682088526843, 'bb_sma': 1.0439512499999999},None
