timestamp,action,price,indicators,result
2025-01-22 16:17:07,analysis,1.04444,{'rsi': 76.19047619047436, 'ema_short': 1.0444125885781332, 'ema_medium': 1.0442115121499214, 'ema_long': 1.043940316804058, 'bb_upper': 1.0446953638755565, 'bb_lower': 1.0435141361244435, 'bb_sma': 1.04410475},None
2025-01-22 16:17:09,analysis,1.04444,{'rsi': 76.19047619047436, 'ema_short': 1.0444125885781332, 'ema_medium': 1.0442115121499214, 'ema_long': 1.043940316804058, 'bb_upper': 1.0446953638755565, 'bb_lower': 1.0435141361244435, 'bb_sma': 1.04410475},None
2025-01-22 16:17:10,analysis,1.04444,{'rsi': 76.19047619047436, 'ema_short': 1.0444125885781332, 'ema_medium': 1.0442115121499214, 'ema_long': 1.043940316804058, 'bb_upper': 1.0446953638755565, 'bb_lower': 1.0435141361244435, 'bb_sma': 1.04410475},None
2025-01-22 16:17:12,analysis,1.04444,{'rsi': 76.19047619047436, 'ema_short': 1.0444125885781332, 'ema_medium': 1.0442115121499214, 'ema_long': 1.043940316804058, 'bb_upper': 1.0446953638755565, 'bb_lower': 1.0435141361244435, 'bb_sma': 1.04410475},None
2025-01-22 16:17:13,analysis,1.04444,{'rsi': 76.19047619047436, 'ema_short': 1.0444125885781332, 'ema_medium': 1.0442115121499214, 'ema_long': 1.043940316804058, 'bb_upper': 1.0446953638755565, 'bb_lower': 1.0435141361244435, 'bb_sma': 1.04410475},None
2025-01-22 16:17:15,analysis,1.04444,{'rsi': 76.19047619047436, 'ema_short': 1.0444125885781332, 'ema_medium': 1.0442115121499214, 'ema_long': 1.043940316804058, 'bb_upper': 1.0446953638755565, 'bb_lower': 1.0435141361244435, 'bb_sma': 1.04410475},None
2025-01-22 16:17:16,analysis,1.04444,{'rsi': 76.19047619047436, 'ema_short': 1.0444125885781332, 'ema_medium': 1.0442115121499214, 'ema_long': 1.043940316804058, 'bb_upper': 1.0446953638755565, 'bb_lower': 1.0435141361244435, 'bb_sma': 1.04410475},None
2025-01-22 16:17:18,analysis,1.04444,{'rsi': 76.19047619047436, 'ema_short': 1.0444125885781332, 'ema_medium': 1.0442115121499214, 'ema_long': 1.043940316804058, 'bb_upper': 1.0446953638755565, 'bb_lower': 1.0435141361244435, 'bb_sma': 1.04410475},None
2025-01-22 16:17:19,analysis,1.04444,{'rsi': 76.19047619047436, 'ema_short': 1.0444125885781332, 'ema_medium': 1.0442115121499214, 'ema_long': 1.043940316804058, 'bb_upper': 1.0446953638755565, 'bb_lower': 1.0435141361244435, 'bb_sma': 1.04410475},None
2025-01-22 16:17:21,analysis,1.04444,{'rsi': 76.19047619047436, 'ema_short': 1.0444125885781332, 'ema_medium': 1.0442115121499214, 'ema_long': 1.043940316804058, 'bb_upper': 1.0446953638755565, 'bb_lower': 1.0435141361244435, 'bb_sma': 1.04410475},None
2025-01-22 16:17:23,analysis,1.04444,{'rsi': 76.19047619047436, 'ema_short': 1.0444125885781332, 'ema_medium': 1.0442115121499214, 'ema_long': 1.043940316804058, 'bb_upper': 1.0446953638755565, 'bb_lower': 1.0435141361244435, 'bb_sma': 1.04410475},None
