timestamp,action,price,indicators,result
2025-01-21 08:54:55,analysis,1.03809,{'rsi': np.float64(55.61), 'ema_short': np.float64(1.03807), 'ema_medium': np.float64(1.03825), 'ema_long': np.float64(1.03854), 'bb_upper': np.float64(1.03849), 'bb_lower': np.float64(1.03791), 'bb_sma': np.float64(1.0382)},None
2025-01-21 08:54:57,analysis,1.0381,{'rsi': np.float64(55.61), 'ema_short': np.float64(1.03806), 'ema_medium': np.float64(1.03823), 'ema_long': np.float64(1.03852), 'bb_upper': np.float64(1.03845), 'bb_lower': np.float64(1.03791), 'bb_sma': np.float64(1.03818)},None
2025-01-21 08:54:58,analysis,1.0381,{'rsi': np.float64(55.61), 'ema_short': np.float64(1.03806), 'ema_medium': np.float64(1.03822), 'ema_long': np.float64(1.0385), 'bb_upper': np.float64(1.03841), 'bb_lower': np.float64(1.03792), 'bb_sma': np.float64(1.03817)},None
2025-01-21 08:54:59,analysis,1.0381,{'rsi': np.float64(55.61), 'ema_short': np.float64(1.03807), 'ema_medium': np.float64(1.03819), 'ema_long': np.float64(1.03848), 'bb_upper': np.float64(1.03835), 'bb_lower': np.float64(1.03794), 'bb_sma': np.float64(1.03815)},None
2025-01-21 08:55:00,analysis,1.03808,{'rsi': np.float64(55.61), 'ema_short': np.float64(1.03807), 'ema_medium': np.float64(1.03817), 'ema_long': np.float64(1.03846), 'bb_upper': np.float64(1.03831), 'bb_lower': np.float64(1.03796), 'bb_sma': np.float64(1.03813)},None
2025-01-21 08:55:02,analysis,1.03811,{'rsi': np.float64(55.61), 'ema_short': np.float64(1.03809), 'ema_medium': np.float64(1.03815), 'ema_long': np.float64(1.03844), 'bb_upper': np.float64(1.03828), 'bb_lower': np.float64(1.03797), 'bb_sma': np.float64(1.03812)},None
2025-01-21 08:55:03,analysis,1.038125,{'rsi': np.float64(55.61), 'ema_short': np.float64(1.03809), 'ema_medium': np.float64(1.03814), 'ema_long': np.float64(1.03842), 'bb_upper': np.float64(1.03825), 'bb_lower': np.float64(1.03798), 'bb_sma': np.float64(1.03811)},None
2025-01-21 08:55:04,analysis,1.038125,{'rsi': np.float64(55.61), 'ema_short': np.float64(1.0381), 'ema_medium': np.float64(1.03813), 'ema_long': np.float64(1.03841), 'bb_upper': np.float64(1.03825), 'bb_lower': np.float64(1.03798), 'bb_sma': np.float64(1.03811)},None
2025-01-21 08:55:06,analysis,1.03811,{'rsi': np.float64(55.61), 'ema_short': np.float64(1.0381), 'ema_medium': np.float64(1.03812), 'ema_long': np.float64(1.0384), 'bb_upper': np.float64(1.03824), 'bb_lower': np.float64(1.03798), 'bb_sma': np.float64(1.03811)},None
2025-01-21 08:55:07,analysis,1.038125,{'rsi': np.float64(55.61), 'ema_short': np.float64(1.03811), 'ema_medium': np.float64(1.03812), 'ema_long': np.float64(1.03838), 'bb_upper': np.float64(1.03822), 'bb_lower': np.float64(1.03799), 'bb_sma': np.float64(1.0381)},None
2025-01-21 08:55:08,analysis,1.038115,{'rsi': np.float64(55.61), 'ema_short': np.float64(1.03811), 'ema_medium': np.float64(1.03811), 'ema_long': np.float64(1.03837), 'bb_upper': np.float64(1.0382), 'bb_lower': np.float64(1.038), 'bb_sma': np.float64(1.0381)},None
2025-01-21 08:55:10,analysis,1.038105,{'rsi': np.float64(55.61), 'ema_short': np.float64(1.03811), 'ema_medium': np.float64(1.0381), 'ema_long': np.float64(1.03836), 'bb_upper': np.float64(1.03817), 'bb_lower': np.float64(1.03801), 'bb_sma': np.float64(1.03809)},None
2025-01-21 08:55:11,analysis,1.038105,{'rsi': np.float64(55.61), 'ema_short': np.float64(1.03811), 'ema_medium': np.float64(1.03809), 'ema_long': np.float64(1.03834), 'bb_upper': np.float64(1.03816), 'bb_lower': np.float64(1.03802), 'bb_sma': np.float64(1.03809)},None
