timestamp,action,price,indicators,result
2025-01-21 08:09:17,analysis,1.03901,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03909), 'ema_medium': np.float64(1.03907), 'ema_long': np.float64(1.03929), 'bb_upper': np.float64(1.03928), 'bb_lower': np.float64(1.03886), 'bb_sma': np.float64(1.03907)},None
2025-01-21 08:09:18,analysis,1.03901,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03907), 'ema_medium': np.float64(1.03907), 'ema_long': np.float64(1.03928), 'bb_upper': np.float64(1.03928), 'bb_lower': np.float64(1.03886), 'bb_sma': np.float64(1.03907)},None
2025-01-21 08:09:19,analysis,1.03901,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03903), 'ema_medium': np.float64(1.03908), 'ema_long': np.float64(1.03928), 'bb_upper': np.float64(1.03928), 'bb_lower': np.float64(1.03886), 'bb_sma': np.float64(1.03907)},None
2025-01-21 08:09:20,analysis,1.03901,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03901), 'ema_medium': np.float64(1.03908), 'ema_long': np.float64(1.03926), 'bb_upper': np.float64(1.03923), 'bb_lower': np.float64(1.03888), 'bb_sma': np.float64(1.03905)},None
2025-01-21 08:09:22,analysis,1.03901,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03902), 'ema_medium': np.float64(1.03906), 'ema_long': np.float64(1.03924), 'bb_upper': np.float64(1.03919), 'bb_lower': np.float64(1.03889), 'bb_sma': np.float64(1.03904)},None
2025-01-21 08:09:23,analysis,1.03901,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03901), 'ema_medium': np.float64(1.03904), 'ema_long': np.float64(1.03923), 'bb_upper': np.float64(1.03919), 'bb_lower': np.float64(1.03889), 'bb_sma': np.float64(1.03904)},None
2025-01-21 08:09:24,analysis,1.03901,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03901), 'ema_medium': np.float64(1.03904), 'ema_long': np.float64(1.03921), 'bb_upper': np.float64(1.03919), 'bb_lower': np.float64(1.03889), 'bb_sma': np.float64(1.03904)},None
2025-01-21 08:09:26,analysis,1.03901,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03901), 'ema_medium': np.float64(1.03904), 'ema_long': np.float64(1.03918), 'bb_upper': np.float64(1.03919), 'bb_lower': np.float64(1.0389), 'bb_sma': np.float64(1.03904)},None
2025-01-21 08:09:27,analysis,1.039005,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03901), 'ema_medium': np.float64(1.03905), 'ema_long': np.float64(1.03916), 'bb_upper': np.float64(1.03919), 'bb_lower': np.float64(1.0389), 'bb_sma': np.float64(1.03905)},None
2025-01-21 08:09:28,analysis,1.038975,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03901), 'ema_medium': np.float64(1.03905), 'ema_long': np.float64(1.03914), 'bb_upper': np.float64(1.03919), 'bb_lower': np.float64(1.0389), 'bb_sma': np.float64(1.03904)},None
2025-01-21 08:09:30,analysis,1.03898,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03901), 'ema_medium': np.float64(1.03906), 'ema_long': np.float64(1.03912), 'bb_upper': np.float64(1.03918), 'bb_lower': np.float64(1.0389), 'bb_sma': np.float64(1.03904)},None
2025-01-21 08:09:31,analysis,1.03898,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.039), 'ema_medium': np.float64(1.03905), 'ema_long': np.float64(1.03911), 'bb_upper': np.float64(1.03917), 'bb_lower': np.float64(1.03889), 'bb_sma': np.float64(1.03903)},None
2025-01-21 08:09:32,analysis,1.03898,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.039), 'ema_medium': np.float64(1.03905), 'ema_long': np.float64(1.03909), 'bb_upper': np.float64(1.03913), 'bb_lower': np.float64(1.03891), 'bb_sma': np.float64(1.03902)},None
2025-01-21 08:09:33,analysis,1.03897,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.039), 'ema_medium': np.float64(1.03903), 'ema_long': np.float64(1.03907), 'bb_upper': np.float64(1.03909), 'bb_lower': np.float64(1.03893), 'bb_sma': np.float64(1.03901)},None
2025-01-21 08:09:35,analysis,1.03897,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03899), 'ema_medium': np.float64(1.03901), 'ema_long': np.float64(1.03906), 'bb_upper': np.float64(1.03904), 'bb_lower': np.float64(1.03896), 'bb_sma': np.float64(1.039)},None
2025-01-21 08:09:36,analysis,1.03897,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03899), 'ema_medium': np.float64(1.039), 'ema_long': np.float64(1.03905), 'bb_upper': np.float64(1.03904), 'bb_lower': np.float64(1.03896), 'bb_sma': np.float64(1.039)},None
2025-01-21 08:09:37,analysis,1.03897,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03898), 'ema_medium': np.float64(1.039), 'ema_long': np.float64(1.03904), 'bb_upper': np.float64(1.03903), 'bb_lower': np.float64(1.03896), 'bb_sma': np.float64(1.039)},None
2025-01-21 08:09:39,analysis,1.038965,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03897), 'ema_medium': np.float64(1.039), 'ema_long': np.float64(1.03904), 'bb_upper': np.float64(1.03903), 'bb_lower': np.float64(1.03896), 'bb_sma': np.float64(1.03899)},None
2025-01-21 08:09:40,analysis,1.038965,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03897), 'ema_medium': np.float64(1.039), 'ema_long': np.float64(1.03904), 'bb_upper': np.float64(1.03903), 'bb_lower': np.float64(1.03895), 'bb_sma': np.float64(1.03899)},None
2025-01-21 08:09:41,analysis,1.038995,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03897), 'ema_medium': np.float64(1.039), 'ema_long': np.float64(1.03903), 'bb_upper': np.float64(1.03903), 'bb_lower': np.float64(1.03895), 'bb_sma': np.float64(1.03899)},None
2025-01-21 08:09:43,analysis,1.038995,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03897), 'ema_medium': np.float64(1.03899), 'ema_long': np.float64(1.03903), 'bb_upper': np.float64(1.03903), 'bb_lower': np.float64(1.03895), 'bb_sma': np.float64(1.03899)},None
2025-01-21 08:09:44,analysis,1.038995,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03897), 'ema_medium': np.float64(1.03899), 'ema_long': np.float64(1.03903), 'bb_upper': np.float64(1.03902), 'bb_lower': np.float64(1.03895), 'bb_sma': np.float64(1.03899)},None
2025-01-21 08:09:45,analysis,1.038995,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03898), 'ema_medium': np.float64(1.03899), 'ema_long': np.float64(1.03902), 'bb_upper': np.float64(1.03902), 'bb_lower': np.float64(1.03895), 'bb_sma': np.float64(1.03899)},None
2025-01-21 08:09:47,analysis,1.03903,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03898), 'ema_medium': np.float64(1.03899), 'ema_long': np.float64(1.03903), 'bb_upper': np.float64(1.03903), 'bb_lower': np.float64(1.03895), 'bb_sma': np.float64(1.03899)},None
2025-01-21 08:09:48,analysis,1.039035,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03899), 'ema_medium': np.float64(1.03899), 'ema_long': np.float64(1.03902), 'bb_upper': np.float64(1.03903), 'bb_lower': np.float64(1.03895), 'bb_sma': np.float64(1.03899)},None
2025-01-21 08:09:49,analysis,1.039035,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03899), 'ema_medium': np.float64(1.03899), 'ema_long': np.float64(1.03903), 'bb_upper': np.float64(1.03904), 'bb_lower': np.float64(1.03895), 'bb_sma': np.float64(1.03899)},None
2025-01-21 08:09:50,analysis,1.039035,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.039), 'ema_medium': np.float64(1.03899), 'ema_long': np.float64(1.03903), 'bb_upper': np.float64(1.03904), 'bb_lower': np.float64(1.03894), 'bb_sma': np.float64(1.03899)},None
2025-01-21 08:09:52,analysis,1.039035,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03901), 'ema_medium': np.float64(1.03899), 'ema_long': np.float64(1.03903), 'bb_upper': np.float64(1.03905), 'bb_lower': np.float64(1.03894), 'bb_sma': np.float64(1.03899)},None
2025-01-21 08:09:53,analysis,1.03903,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03902), 'ema_medium': np.float64(1.03899), 'ema_long': np.float64(1.03903), 'bb_upper': np.float64(1.03905), 'bb_lower': np.float64(1.03894), 'bb_sma': np.float64(1.039)},None
2025-01-21 08:09:54,analysis,1.03901,{'rsi': np.float64(52.33), 'ema_short': np.float64(1.03902), 'ema_medium': np.float64(1.03899), 'ema_long': np.float64(1.03904), 'bb_upper': np.float64(1.03905), 'bb_lower': np.float64(1.03894), 'bb_sma': np.float64(1.039)},None
2025-01-21 08:09:56,analysis,1.03901,{'rsi': np.float64(58.28), 'ema_short': np.float64(1.03902), 'ema_medium': np.float64(1.03899), 'ema_long': np.float64(1.03904), 'bb_upper': np.float64(1.03905), 'bb_lower': np.float64(1.03895), 'bb_sma': np.float64(1.039)},None
2025-01-21 08:09:57,analysis,1.03901,{'rsi': np.float64(59.19), 'ema_short': np.float64(1.03903), 'ema_medium': np.float64(1.03899), 'ema_long': np.float64(1.03904), 'bb_upper': np.float64(1.03905), 'bb_lower': np.float64(1.03895), 'bb_sma': np.float64(1.039)},None
2025-01-21 08:09:59,analysis,1.03901,{'rsi': np.float64(66.35), 'ema_short': np.float64(1.03903), 'ema_medium': np.float64(1.03899), 'ema_long': np.float64(1.03904), 'bb_upper': np.float64(1.03905), 'bb_lower': np.float64(1.03895), 'bb_sma': np.float64(1.039)},None
