timestamp,action,price,indicators,result
2025-01-22 14:59:24,analysis,1.0443,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04429), 'ema_medium': np.float64(1.04434), 'ema_long': np.float64(1.04431), 'bb_upper': np.float64(1.0444), 'bb_lower': np.float64(1.04425), 'bb_sma': np.float64(1.04432)},None
2025-01-22 14:59:25,analysis,1.044295,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04428), 'ema_medium': np.float64(1.04433), 'ema_long': np.float64(1.0443), 'bb_upper': np.float64(1.04439), 'bb_lower': np.float64(1.04425), 'bb_sma': np.float64(1.04432)},None
2025-01-22 14:59:27,analysis,1.044315,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04429), 'ema_medium': np.float64(1.04433), 'ema_long': np.float64(1.0443), 'bb_upper': np.float64(1.04438), 'bb_lower': np.float64(1.04425), 'bb_sma': np.float64(1.04432)},None
2025-01-22 14:59:28,analysis,1.044285,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04429), 'ema_medium': np.float64(1.04432), 'ema_long': np.float64(1.04429), 'bb_upper': np.float64(1.04437), 'bb_lower': np.float64(1.04425), 'bb_sma': np.float64(1.04431)},None
2025-01-22 14:59:29,analysis,1.0443,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04429), 'ema_medium': np.float64(1.04432), 'ema_long': np.float64(1.04429), 'bb_upper': np.float64(1.04437), 'bb_lower': np.float64(1.04425), 'bb_sma': np.float64(1.04431)},None
2025-01-22 14:59:31,analysis,1.0443,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04429), 'ema_medium': np.float64(1.04432), 'ema_long': np.float64(1.04428), 'bb_upper': np.float64(1.04436), 'bb_lower': np.float64(1.04425), 'bb_sma': np.float64(1.04431)},None
2025-01-22 14:59:32,analysis,1.044295,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.04431), 'ema_long': np.float64(1.04428), 'bb_upper': np.float64(1.04435), 'bb_lower': np.float64(1.04426), 'bb_sma': np.float64(1.0443)},None
2025-01-22 14:59:33,analysis,1.044295,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.04431), 'ema_long': np.float64(1.04429), 'bb_upper': np.float64(1.04434), 'bb_lower': np.float64(1.04426), 'bb_sma': np.float64(1.0443)},None
2025-01-22 14:59:34,analysis,1.0443,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.0443), 'ema_long': np.float64(1.04429), 'bb_upper': np.float64(1.04433), 'bb_lower': np.float64(1.04426), 'bb_sma': np.float64(1.0443)},None
2025-01-22 14:59:36,analysis,1.0443,{'rsi': np.float64(36.96), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.0443), 'ema_long': np.float64(1.0443), 'bb_upper': np.float64(1.04433), 'bb_lower': np.float64(1.04427), 'bb_sma': np.float64(1.0443)},None
2025-01-22 14:59:37,analysis,1.0443,{'rsi': np.float64(41.3), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.0443), 'ema_long': np.float64(1.0443), 'bb_upper': np.float64(1.04432), 'bb_lower': np.float64(1.04427), 'bb_sma': np.float64(1.0443)},None
2025-01-22 14:59:38,analysis,1.0443,{'rsi': np.float64(50.0), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.0443), 'ema_long': np.float64(1.0443), 'bb_upper': np.float64(1.04432), 'bb_lower': np.float64(1.04427), 'bb_sma': np.float64(1.04429)},None
2025-01-22 14:59:39,analysis,1.0443,{'rsi': np.float64(67.78), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.04429), 'ema_long': np.float64(1.0443), 'bb_upper': np.float64(1.04431), 'bb_lower': np.float64(1.04427), 'bb_sma': np.float64(1.04429)},None
2025-01-22 14:59:41,analysis,1.04429,{'rsi': np.float64(74.9), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.04429), 'ema_long': np.float64(1.0443), 'bb_upper': np.float64(1.04431), 'bb_lower': np.float64(1.04427), 'bb_sma': np.float64(1.04429)},None
2025-01-22 14:59:42,analysis,1.04429,{'rsi': np.float64(69.8), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.04429), 'ema_long': np.float64(1.04429), 'bb_upper': np.float64(1.04431), 'bb_lower': np.float64(1.04427), 'bb_sma': np.float64(1.04429)},None
2025-01-22 14:59:44,analysis,1.0443,{'rsi': np.float64(61.46), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.04429), 'ema_long': np.float64(1.04429), 'bb_upper': np.float64(1.04431), 'bb_lower': np.float64(1.04428), 'bb_sma': np.float64(1.04429)},None
2025-01-22 14:59:45,analysis,1.0443,{'rsi': np.float64(62.99), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.04429), 'ema_long': np.float64(1.04429), 'bb_upper': np.float64(1.04431), 'bb_lower': np.float64(1.04428), 'bb_sma': np.float64(1.0443)},None
2025-01-22 14:59:46,analysis,1.0443,{'rsi': np.float64(66.88), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.0443), 'ema_long': np.float64(1.04429), 'bb_upper': np.float64(1.04431), 'bb_lower': np.float64(1.04428), 'bb_sma': np.float64(1.0443)},None
2025-01-22 14:59:48,analysis,1.0443,{'rsi': np.float64(67.51), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.0443), 'ema_long': np.float64(1.04429), 'bb_upper': np.float64(1.04431), 'bb_lower': np.float64(1.04429), 'bb_sma': np.float64(1.0443)},None
2025-01-22 14:59:49,analysis,1.0443,{'rsi': np.float64(78.29), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.0443), 'ema_long': np.float64(1.0443), 'bb_upper': np.float64(1.04431), 'bb_lower': np.float64(1.04429), 'bb_sma': np.float64(1.0443)},None
2025-01-22 14:59:50,analysis,1.0443,{'rsi': np.float64(70.45), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.0443), 'ema_long': np.float64(1.0443), 'bb_upper': np.float64(1.04431), 'bb_lower': np.float64(1.04429), 'bb_sma': np.float64(1.0443)},None
2025-01-22 14:59:51,analysis,1.0443,{'rsi': np.float64(71.65), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.0443), 'ema_long': np.float64(1.0443), 'bb_upper': np.float64(1.04431), 'bb_lower': np.float64(1.04429), 'bb_sma': np.float64(1.0443)},None
2025-01-22 14:59:53,analysis,1.04431,{'rsi': np.float64(62.94), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.0443), 'ema_long': np.float64(1.0443), 'bb_upper': np.float64(1.04431), 'bb_lower': np.float64(1.04429), 'bb_sma': np.float64(1.0443)},None
