timestamp,action,price,indicators,result
2025-01-20 22:46:09,analysis,1.04084,{'rsi': np.float64(52.34), 'ema_short': np.float64(1.04064), 'ema_medium': np.float64(1.04054), 'ema_long': np.float64(1.0398), 'bb_upper': np.float64(1.0408), 'bb_lower': np.float64(1.04034), 'bb_sma': np.float64(1.04057)},None
2025-01-20 22:46:10,analysis,1.04083,{'rsi': np.float64(52.34), 'ema_short': np.float64(1.04065), 'ema_medium': np.float64(1.04055), 'ema_long': np.float64(1.03982), 'bb_upper': np.float64(1.04084), 'bb_lower': np.float64(1.04034), 'bb_sma': np.float64(1.04059)},None
2025-01-20 22:46:12,analysis,1.040585,{'rsi': np.float64(52.34), 'ema_short': np.float64(1.04067), 'ema_medium': np.float64(1.04056), 'ema_long': np.float64(1.03985), 'bb_upper': np.float64(1.04084), 'bb_lower': np.float64(1.04035), 'bb_sma': np.float64(1.04059)},None
2025-01-20 22:46:13,analysis,1.04049,{'rsi': np.float64(52.34), 'ema_short': np.float64(1.04068), 'ema_medium': np.float64(1.04056), 'ema_long': np.float64(1.03987), 'bb_upper': np.float64(1.04084), 'bb_lower': np.float64(1.04035), 'bb_sma': np.float64(1.04059)},None
2025-01-20 22:46:14,analysis,1.04049,{'rsi': np.float64(52.34), 'ema_short': np.float64(1.04069), 'ema_medium': np.float64(1.04057), 'ema_long': np.float64(1.0399), 'bb_upper': np.float64(1.04084), 'bb_lower': np.float64(1.04035), 'bb_sma': np.float64(1.04059)},None
2025-01-20 22:46:16,analysis,1.040515,{'rsi': np.float64(52.34), 'ema_short': np.float64(1.04069), 'ema_medium': np.float64(1.04057), 'ema_long': np.float64(1.03993), 'bb_upper': np.float64(1.04084), 'bb_lower': np.float64(1.04035), 'bb_sma': np.float64(1.0406)},None
2025-01-20 22:46:17,analysis,1.0405,{'rsi': np.float64(52.34), 'ema_short': np.float64(1.04069), 'ema_medium': np.float64(1.04058), 'ema_long': np.float64(1.03996), 'bb_upper': np.float64(1.04084), 'bb_lower': np.float64(1.04036), 'bb_sma': np.float64(1.0406)},None
2025-01-20 22:46:20,analysis,1.040515,{'rsi': np.float64(52.34), 'ema_short': np.float64(1.04067), 'ema_medium': np.float64(1.04058), 'ema_long': np.float64(1.03999), 'bb_upper': np.float64(1.04084), 'bb_lower': np.float64(1.04036), 'bb_sma': np.float64(1.0406)},None
2025-01-20 22:46:21,analysis,1.040515,{'rsi': np.float64(52.34), 'ema_short': np.float64(1.04062), 'ema_medium': np.float64(1.04059), 'ema_long': np.float64(1.04003), 'bb_upper': np.float64(1.04084), 'bb_lower': np.float64(1.04036), 'bb_sma': np.float64(1.0406)},None
2025-01-20 22:46:22,analysis,1.040515,{'rsi': np.float64(52.34), 'ema_short': np.float64(1.04057), 'ema_medium': np.float64(1.0406), 'ema_long': np.float64(1.04006), 'bb_upper': np.float64(1.04083), 'bb_lower': np.float64(1.04037), 'bb_sma': np.float64(1.0406)},None
2025-01-20 22:46:23,analysis,1.040635,{'rsi': np.float64(52.34), 'ema_short': np.float64(1.04053), 'ema_medium': np.float64(1.04061), 'ema_long': np.float64(1.04009), 'bb_upper': np.float64(1.04084), 'bb_lower': np.float64(1.04038), 'bb_sma': np.float64(1.04061)},None
2025-01-20 22:46:25,analysis,1.04065,{'rsi': np.float64(50.63), 'ema_short': np.float64(1.04052), 'ema_medium': np.float64(1.04061), 'ema_long': np.float64(1.04012), 'bb_upper': np.float64(1.04084), 'bb_lower': np.float64(1.04038), 'bb_sma': np.float64(1.04061)},None
2025-01-20 22:46:26,analysis,1.04072,{'rsi': np.float64(58.33), 'ema_short': np.float64(1.04054), 'ema_medium': np.float64(1.04062), 'ema_long': np.float64(1.04016), 'bb_upper': np.float64(1.04085), 'bb_lower': np.float64(1.04038), 'bb_sma': np.float64(1.04062)},None
2025-01-20 22:46:27,analysis,1.04072,{'rsi': np.float64(57.72), 'ema_short': np.float64(1.04056), 'ema_medium': np.float64(1.04062), 'ema_long': np.float64(1.04019), 'bb_upper': np.float64(1.04086), 'bb_lower': np.float64(1.04039), 'bb_sma': np.float64(1.04063)},None
2025-01-20 22:46:29,analysis,1.040605,{'rsi': np.float64(65.77), 'ema_short': np.float64(1.04058), 'ema_medium': np.float64(1.04063), 'ema_long': np.float64(1.04021), 'bb_upper': np.float64(1.04086), 'bb_lower': np.float64(1.04039), 'bb_sma': np.float64(1.04063)},None
2025-01-20 22:46:30,analysis,1.040635,{'rsi': np.float64(69.09), 'ema_short': np.float64(1.04059), 'ema_medium': np.float64(1.04063), 'ema_long': np.float64(1.04024), 'bb_upper': np.float64(1.04086), 'bb_lower': np.float64(1.0404), 'bb_sma': np.float64(1.04063)},None
2025-01-20 22:46:31,analysis,1.040635,{'rsi': np.float64(67.05), 'ema_short': np.float64(1.04061), 'ema_medium': np.float64(1.04064), 'ema_long': np.float64(1.04027), 'bb_upper': np.float64(1.04086), 'bb_lower': np.float64(1.0404), 'bb_sma': np.float64(1.04063)},None
