timestamp,action,price,indicators,result
2025-01-20 22:39:01,analysis,1.039585,{'rsi': np.float64(52.87), 'ema_short': np.float64(1.03957), 'ema_medium': np.float64(1.03936), 'ema_long': np.float64(1.03937), 'bb_upper': np.float64(1.03977), 'bb_lower': np.float64(1.03909), 'bb_sma': np.float64(1.03943)},None
2025-01-20 22:39:02,analysis,1.039585,{'rsi': np.float64(52.87), 'ema_short': np.float64(1.03958), 'ema_medium': np.float64(1.03939), 'ema_long': np.float64(1.0394), 'bb_upper': np.float64(1.03976), 'bb_lower': np.float64(1.03914), 'bb_sma': np.float64(1.03945)},None
2025-01-20 22:39:04,analysis,1.039585,{'rsi': np.float64(52.87), 'ema_short': np.float64(1.03959), 'ema_medium': np.float64(1.03941), 'ema_long': np.float64(1.03942), 'bb_upper': np.float64(1.03976), 'bb_lower': np.float64(1.03918), 'bb_sma': np.float64(1.03947)},None
2025-01-20 22:39:05,analysis,1.039585,{'rsi': np.float64(52.87), 'ema_short': np.float64(1.03959), 'ema_medium': np.float64(1.03944), 'ema_long': np.float64(1.03945), 'bb_upper': np.float64(1.03975), 'bb_lower': np.float64(1.03924), 'bb_sma': np.float64(1.03949)},None
2025-01-20 22:39:06,analysis,1.039585,{'rsi': np.float64(52.87), 'ema_short': np.float64(1.03959), 'ema_medium': np.float64(1.03946), 'ema_long': np.float64(1.03947), 'bb_upper': np.float64(1.03974), 'bb_lower': np.float64(1.03928), 'bb_sma': np.float64(1.03951)},None
2025-01-20 22:39:07,analysis,1.039585,{'rsi': np.float64(52.87), 'ema_short': np.float64(1.03959), 'ema_medium': np.float64(1.03949), 'ema_long': np.float64(1.03948), 'bb_upper': np.float64(1.03972), 'bb_lower': np.float64(1.03934), 'bb_sma': np.float64(1.03953)},None
2025-01-20 22:39:09,analysis,1.039585,{'rsi': np.float64(52.87), 'ema_short': np.float64(1.03958), 'ema_medium': np.float64(1.03951), 'ema_long': np.float64(1.03949), 'bb_upper': np.float64(1.03968), 'bb_lower': np.float64(1.03942), 'bb_sma': np.float64(1.03955)},None
2025-01-20 22:39:10,analysis,1.039585,{'rsi': np.float64(52.87), 'ema_short': np.float64(1.03958), 'ema_medium': np.float64(1.03953), 'ema_long': np.float64(1.03949), 'bb_upper': np.float64(1.03966), 'bb_lower': np.float64(1.03945), 'bb_sma': np.float64(1.03956)},None
2025-01-20 22:39:11,analysis,1.039585,{'rsi': np.float64(52.87), 'ema_short': np.float64(1.03958), 'ema_medium': np.float64(1.03955), 'ema_long': np.float64(1.03949), 'bb_upper': np.float64(1.03965), 'bb_lower': np.float64(1.03948), 'bb_sma': np.float64(1.03957)},None
2025-01-20 22:39:12,analysis,1.039585,{'rsi': np.float64(52.87), 'ema_short': np.float64(1.03958), 'ema_medium': np.float64(1.03956), 'ema_long': np.float64(1.03948), 'bb_upper': np.float64(1.03964), 'bb_lower': np.float64(1.0395), 'bb_sma': np.float64(1.03957)},None
2025-01-20 22:39:14,analysis,1.03958,{'rsi': np.float64(52.87), 'ema_short': np.float64(1.03958), 'ema_medium': np.float64(1.03957), 'ema_long': np.float64(1.03947), 'bb_upper': np.float64(1.03962), 'bb_lower': np.float64(1.03954), 'bb_sma': np.float64(1.03958)},None
2025-01-20 22:39:15,analysis,1.03958,{'rsi': np.float64(52.87), 'ema_short': np.float64(1.03958), 'ema_medium': np.float64(1.03958), 'ema_long': np.float64(1.03946), 'bb_upper': np.float64(1.03962), 'bb_lower': np.float64(1.03954), 'bb_sma': np.float64(1.03958)},None
2025-01-20 22:39:16,analysis,1.03958,{'rsi': np.float64(52.87), 'ema_short': np.float64(1.03958), 'ema_medium': np.float64(1.03958), 'ema_long': np.float64(1.03945), 'bb_upper': np.float64(1.0396), 'bb_lower': np.float64(1.03957), 'bb_sma': np.float64(1.03958)},None
