timestamp,action,price,indicators,result
2025-01-20 22:42:24,analysis,1.04002,{'rsi': np.float64(37.46), 'ema_short': np.float64(1.03973), 'ema_medium': np.float64(1.03949), 'ema_long': np.float64(1.03947), 'bb_upper': np.float64(1.04011), 'bb_lower': np.float64(1.03906), 'bb_sma': np.float64(1.03959)},None
2025-01-20 22:42:26,analysis,1.04002,{'rsi': np.float64(37.46), 'ema_short': np.float64(1.03978), 'ema_medium': np.float64(1.03953), 'ema_long': np.float64(1.0395), 'bb_upper': np.float64(1.04015), 'bb_lower': np.float64(1.0391), 'bb_sma': np.float64(1.03962)},None
2025-01-20 22:42:27,analysis,1.04002,{'rsi': np.float64(37.46), 'ema_short': np.float64(1.03983), 'ema_medium': np.float64(1.03957), 'ema_long': np.float64(1.03952), 'bb_upper': np.float64(1.04018), 'bb_lower': np.float64(1.03915), 'bb_sma': np.float64(1.03966)},None
2025-01-20 22:42:28,analysis,1.04002,{'rsi': np.float64(37.46), 'ema_short': np.float64(1.03989), 'ema_medium': np.float64(1.03961), 'ema_long': np.float64(1.03953), 'bb_upper': np.float64(1.04021), 'bb_lower': np.float64(1.0392), 'bb_sma': np.float64(1.0397)},None
2025-01-20 22:42:30,analysis,1.04002,{'rsi': np.float64(37.46), 'ema_short': np.float64(1.03996), 'ema_medium': np.float64(1.03965), 'ema_long': np.float64(1.03953), 'bb_upper': np.float64(1.04023), 'bb_lower': np.float64(1.03924), 'bb_sma': np.float64(1.03974)},None
2025-01-20 22:42:31,analysis,1.04002,{'rsi': np.float64(37.46), 'ema_short': np.float64(1.04004), 'ema_medium': np.float64(1.03968), 'ema_long': np.float64(1.03954), 'bb_upper': np.float64(1.04026), 'bb_lower': np.float64(1.03928), 'bb_sma': np.float64(1.03977)},None
2025-01-20 22:42:32,analysis,1.040025,{'rsi': np.float64(37.46), 'ema_short': np.float64(1.04002), 'ema_medium': np.float64(1.03971), 'ema_long': np.float64(1.03954), 'bb_upper': np.float64(1.04027), 'bb_lower': np.float64(1.03931), 'bb_sma': np.float64(1.03979)},None
2025-01-20 22:42:34,analysis,1.040025,{'rsi': np.float64(37.46), 'ema_short': np.float64(1.04002), 'ema_medium': np.float64(1.03974), 'ema_long': np.float64(1.03954), 'bb_upper': np.float64(1.04028), 'bb_lower': np.float64(1.03936), 'bb_sma': np.float64(1.03982)},None
2025-01-20 22:42:35,analysis,1.040025,{'rsi': np.float64(37.46), 'ema_short': np.float64(1.04002), 'ema_medium': np.float64(1.03977), 'ema_long': np.float64(1.03953), 'bb_upper': np.float64(1.0403), 'bb_lower': np.float64(1.0394), 'bb_sma': np.float64(1.03985)},None
2025-01-20 22:42:36,analysis,1.04003,{'rsi': np.float64(37.46), 'ema_short': np.float64(1.04002), 'ema_medium': np.float64(1.0398), 'ema_long': np.float64(1.03953), 'bb_upper': np.float64(1.0403), 'bb_lower': np.float64(1.03944), 'bb_sma': np.float64(1.03987)},None
2025-01-20 22:42:37,analysis,1.04003,{'rsi': np.float64(37.46), 'ema_short': np.float64(1.04002), 'ema_medium': np.float64(1.03983), 'ema_long': np.float64(1.03953), 'bb_upper': np.float64(1.04031), 'bb_lower': np.float64(1.03949), 'bb_sma': np.float64(1.0399)},None
2025-01-20 22:42:39,analysis,1.040035,{'rsi': np.float64(37.46), 'ema_short': np.float64(1.04002), 'ema_medium': np.float64(1.03985), 'ema_long': np.float64(1.03953), 'bb_upper': np.float64(1.04031), 'bb_lower': np.float64(1.03953), 'bb_sma': np.float64(1.03992)},None
2025-01-20 22:42:40,analysis,1.04002,{'rsi': np.float64(37.46), 'ema_short': np.float64(1.04002), 'ema_medium': np.float64(1.03988), 'ema_long': np.float64(1.03954), 'bb_upper': np.float64(1.0403), 'bb_lower': np.float64(1.03958), 'bb_sma': np.float64(1.03994)},None
2025-01-20 22:42:41,analysis,1.04002,{'rsi': np.float64(37.46), 'ema_short': np.float64(1.04003), 'ema_medium': np.float64(1.03991), 'ema_long': np.float64(1.03954), 'bb_upper': np.float64(1.04028), 'bb_lower': np.float64(1.03964), 'bb_sma': np.float64(1.03996)},None
2025-01-20 22:42:42,analysis,1.04002,{'rsi': np.float64(37.46), 'ema_short': np.float64(1.04003), 'ema_medium': np.float64(1.03994), 'ema_long': np.float64(1.03954), 'bb_upper': np.float64(1.04026), 'bb_lower': np.float64(1.03971), 'bb_sma': np.float64(1.03998)},None
2025-01-20 22:42:44,analysis,1.04002,{'rsi': np.float64(37.46), 'ema_short': np.float64(1.04003), 'ema_medium': np.float64(1.03996), 'ema_long': np.float64(1.03955), 'bb_upper': np.float64(1.04021), 'bb_lower': np.float64(1.0398), 'bb_sma': np.float64(1.04001)},None
2025-01-20 22:42:45,analysis,1.04002,{'rsi': np.float64(37.46), 'ema_short': np.float64(1.04003), 'ema_medium': np.float64(1.04), 'ema_long': np.float64(1.03956), 'bb_upper': np.float64(1.04008), 'bb_lower': np.float64(1.03998), 'bb_sma': np.float64(1.04003)},None
2025-01-20 22:42:46,analysis,1.040025,{'rsi': np.float64(37.46), 'ema_short': np.float64(1.04003), 'ema_medium': np.float64(1.04003), 'ema_long': np.float64(1.03957), 'bb_upper': np.float64(1.04003), 'bb_lower': np.float64(1.04001), 'bb_sma': np.float64(1.04002)},None
2025-01-20 22:42:47,analysis,1.04002,{'rsi': np.float64(37.46), 'ema_short': np.float64(1.04002), 'ema_medium': np.float64(1.04002), 'ema_long': np.float64(1.03958), 'bb_upper': np.float64(1.04003), 'bb_lower': np.float64(1.04001), 'bb_sma': np.float64(1.04002)},None
